id	filename	md5	size	state
0c1ccbe2-355e-4c88-aa28-d07cab3a16a4	nationwidechildrens.org_biospecimen.TCGA-HT-7602.xml	b7a49fa43a43363ce2181bea1189feaa	59078	live
42cdf865-bc08-4528-8347-9e653acf466a	nationwidechildrens.org_biospecimen.TCGA-OR-A5KV.xml	91a21607a36ba460eaf2e96676a141c5	52138	live
eb14d68f-6ae1-413b-a505-8ab6e4daa546	nationwidechildrens.org_biospecimen.TCGA-13-0923.xml	d948cf8aecc21d014fa8e389b8007cf6	106800	live
44d6be89-dd29-4e63-8cb4-5fdf077aadf8	nationwidechildrens.org_biospecimen.TCGA-CS-6669.xml	1248752eeda0105341b815a35fe19b4d	61508	live
d3291bbe-fcf4-459a-94a4-ac2ad343e4bf	nationwidechildrens.org_biospecimen.TCGA-29-1701.xml	9da7531df46f5a14b853703670c71673	107156	live
c6c45cba-c934-425c-99d0-adc31d1e5ade	nationwidechildrens.org_biospecimen.TCGA-IK-7675.xml	0beb0022fc6329b9352e33262254e59d	66387	live
69a3fef2-d706-4a93-8a4b-444de3cc85a5	nationwidechildrens.org_biospecimen.TCGA-61-2000.xml	bf6641144b72047837c8369371ca3933	127140	live
2ac6fbb9-3cc0-46e0-ba73-62a5cd584f16	nationwidechildrens.org_biospecimen.TCGA-IE-A4EH.xml	f67f6f8822c510d8acc21171650f49b5	53958	live
c5e1a8e5-fa3d-445b-9497-82ddaafac45c	nationwidechildrens.org_biospecimen.TCGA-CS-6668.xml	d96f9b51971cde55622bfecb2f9a05a3	66431	live
a2d3b725-bad8-4874-930d-7d3f113abc67	nationwidechildrens.org_biospecimen.TCGA-DX-AB2Q.xml	bd244b34998a73892b1b22914975b6a3	54550	live
7a9dc24b-3a36-4d75-b931-da105695093a	nationwidechildrens.org_biospecimen.TCGA-HT-7601.xml	ae492a8a36accdd03604f6e898fb55af	67037	live
6da2fdc9-24f9-4fe8-8f50-8a59cb658f6c	nationwidechildrens.org_biospecimen.TCGA-BJ-A0Z0.xml	4e5df8c87d8082ce526c62722dd85576	64171	live
8d98690d-16f9-4ff7-8d0c-22ed1cd6c10c	nationwidechildrens.org_biospecimen.TCGA-EI-6513.xml	22756e64f1aa448e624981d64e81b185	66728	live
a135b3d4-a64c-4972-a520-f53917e383ab	nationwidechildrens.org_biospecimen.TCGA-EL-A3CZ.xml	15871adb9b2ebd64929e74eda85176cf	56422	live
baf93a53-c0b0-4fba-9369-8c889d335129	nationwidechildrens.org_biospecimen.TCGA-01-0637.xml	d1e1fe10c97165d0398d8ede847b257d	40479	live
5bd5e8e8-3fdc-4f76-ba2d-00c0bd7ba3b6	nationwidechildrens.org_biospecimen.TCGA-DJ-A3VM.xml	b38c4e1e5b407e1b3e04bf5d1fcb98a8	53958	live
71f8f68d-b173-4237-9f89-c090d9d771a3	nationwidechildrens.org_biospecimen.TCGA-BJ-A2N8.xml	15c85e0065eb26c4e7c6393764e39cf6	94181	live
d143fc1e-4312-4ba4-8f2c-bf435b8ef91e	nationwidechildrens.org_biospecimen.TCGA-X6-A8C5.xml	c613b6a93b53273908362cd4b862831f	59530	live
a1e7edbe-975a-4622-a9c0-1eae3b261889	nationwidechildrens.org_biospecimen.TCGA-24-2019.xml	078849615d79a8a6ff0c8224522df23b	108121	live
05af27ce-6cff-47b0-94b7-2e258b641eb2	nationwidechildrens.org_biospecimen.TCGA-3B-A9HS.xml	3c368e5021247b7febb497b0b04208b5	52261	live
8e76ed7e-f785-4130-93b5-838ad956c570	nationwidechildrens.org_biospecimen.TCGA-13-1501.xml	54e35102b124c7e7d31809d868bea15c	107744	live
18eb14cb-9c53-43d9-835f-065758abb92e	nationwidechildrens.org_biospecimen.TCGA-23-1118.xml	339eafe37ffeda1fc9edcdc21df40261	109414	live
9f7868a5-d30c-4341-894a-882bdeeb94d9	nationwidechildrens.org_biospecimen.TCGA-DU-A6S6.xml	60d0210010de084d497dbdd5b6f56a99	52303	live
c1a2d029-16cd-4269-bfdc-d367fd3b7022	nationwidechildrens.org_biospecimen.TCGA-FG-7634.xml	f3a75d768e84a138a7f3c9dd4fc0aa5c	61467	live
bdc7b1ed-3afa-4980-87e2-828183bd3e2b	nationwidechildrens.org_biospecimen.TCGA-AG-A01N.xml	cb6f4fa0d248f9df5ace11e752795277	111009	live
a21b408f-e802-46e9-8735-602fac2c353c	nationwidechildrens.org_biospecimen.TCGA-DC-6682.xml	1d44e92e985f13dc6ec1b16b31f9726c	69456	live
ecd09d8c-77ca-4464-ad82-b61f9fe4b70e	nationwidechildrens.org_biospecimen.TCGA-EM-A3O8.xml	bee1a56ee003c58f581bb9b618576e3b	59670	live
3445d3df-d80c-47fc-8796-5eb6b96012f0	nationwidechildrens.org_biospecimen.TCGA-OR-A5LC.xml	b970c7bee05fe1185d03ec50dc383329	52138	live
75cae1d4-e5e1-49fc-990c-91e516a9ced1	nationwidechildrens.org_biospecimen.TCGA-24-0968.xml	0cca9613130faacc462b9c8e07d3cf2b	99570	live
132bb518-afac-4fe3-9066-7714197e5c41	nationwidechildrens.org_biospecimen.TCGA-DU-6405.xml	9b7b06884ceedfc8906c4d828749feff	66429	live
ed5defb4-5640-43e2-9372-5bfc3102ac83	nationwidechildrens.org_biospecimen.TCGA-HW-7490.xml	cd7cb3ecdb7c0e48a789924ec4c5fe6f	63930	live
d459ca81-a5a6-45ad-9b63-69083bf5a383	nationwidechildrens.org_biospecimen.TCGA-29-1705.xml	29424c92f0bd497337f11e5f1be185fd	167907	live
1f734b94-8b53-407b-82d6-307b41a581a3	nationwidechildrens.org_biospecimen.TCGA-HT-7471.xml	04094cbfbe1103299ae71ca7599ed002	61631	live
9d7e0694-9c30-4d92-a230-1140080425ae	nationwidechildrens.org_biospecimen.TCGA-EL-A3ZN.xml	61406bab1c580361a4695a75eab45fcb	56865	live
830d05b1-d04c-46b1-ba14-43e8614640eb	nationwidechildrens.org_biospecimen.TCGA-25-1632.xml	2d64542cbb63d46568d7588d1ab97dbf	112246	live
d9863378-a56b-42e1-8dda-355aa833f6b6	nationwidechildrens.org_biospecimen.TCGA-OR-A5JU.xml	5a32a7ba90d6969762b5aea39e621c3b	42073	live
2cf20df5-97a9-44d2-9359-62fb123660f7	nationwidechildrens.org_biospecimen.TCGA-VM-A8C9.xml	18a01e223fa41bec35edf65cdd63b310	55235	live
